model,model_family,dataset,attack,range_name,start_qf,end_qf,schedule,generations,qfs,clean_accuracy,clean_correct,no_defense_asr,no_defense_successes,asr,ci_low,ci_high,successes,total
robustbench_rice2020,robustbench_cifar,cifar10,fgsm,R1,75,50,fixed,3,"62,62,62",0.86328125,442,0.2760180995475113,122,0.2737556561085973,0.2342705353387694,0.3171395095479831,121,442
robustbench_rice2020,robustbench_cifar,cifar10,fgsm,R1,75,50,fixed,5,"62,62,62,62,62",0.86328125,442,0.2760180995475113,122,0.2737556561085973,0.2342705353387694,0.3171395095479831,121,442
robustbench_rice2020,robustbench_cifar,cifar10,fgsm,R1,75,50,front_loaded,3,"50,65,75",0.86328125,442,0.2760180995475113,122,0.3009049773755656,0.2600122456037902,0.3452285938965519,133,442
robustbench_rice2020,robustbench_cifar,cifar10,fgsm,R1,75,50,front_loaded,5,"50,58,65,70,75",0.86328125,442,0.2760180995475113,122,0.3076923076923077,0.2664756303130263,0.3522229078407133,136,442
robustbench_rice2020,robustbench_cifar,cifar10,fgsm,R2,85,55,geometric,3,"85,74,55",0.86328125,442,0.2760180995475113,122,0.3280542986425339,0.2859295792703889,0.373142054843543,145,442
robustbench_rice2020,robustbench_cifar,cifar10,fgsm,R2,85,55,geometric,5,"85,80,74,66,55",0.86328125,442,0.2760180995475113,122,0.3212669683257919,0.2794344806473464,0.3661794548131881,142,442
robustbench_rice2020,robustbench_cifar,cifar10,fgsm,R2,85,55,arithmetic,3,"85,70,55",0.86328125,442,0.2760180995475113,122,0.3144796380090497,0.27294977183109,0.359206464976047,139,442
robustbench_rice2020,robustbench_cifar,cifar10,fgsm,R2,85,55,arithmetic,5,"85,78,70,63,55",0.86328125,442,0.2760180995475113,122,0.3235294117647059,0.2815983675324713,0.3685014674791956,143,442
robustbench_rice2020,robustbench_cifar,cifar10,fgsm,R2,85,55,fixed,3,"70,70,70",0.86328125,442,0.2760180995475113,122,0.2850678733031674,0.2449740093570119,0.3288655332854029,126,442
robustbench_rice2020,robustbench_cifar,cifar10,fgsm,R2,85,55,fixed,5,"70,70,70,70,70",0.86328125,442,0.2760180995475113,122,0.2850678733031674,0.2449740093570119,0.3288655332854029,126,442
robustbench_rice2020,robustbench_cifar,cifar10,fgsm,R2,85,55,front_loaded,3,"55,74,85",0.86328125,442,0.2760180995475113,122,0.3009049773755656,0.2600122456037902,0.3452285938965519,133,442
robustbench_rice2020,robustbench_cifar,cifar10,fgsm,R2,85,55,front_loaded,5,"55,66,74,80,85",0.86328125,442,0.2760180995475113,122,0.2963800904977375,0.2557093978480009,0.3405596425500763,131,442
robustbench_rice2020,robustbench_cifar,cifar10,fgsm,R3,90,60,geometric,3,"90,80,60",0.86328125,442,0.2760180995475113,122,0.3167420814479638,0.2751101762969686,0.3615319600613009,140,442
robustbench_rice2020,robustbench_cifar,cifar10,fgsm,R3,90,60,geometric,5,"90,86,80,72,60",0.86328125,442,0.2760180995475113,122,0.3574660633484163,0.3141912205159001,0.4031971077627539,158,442
robustbench_rice2020,robustbench_cifar,cifar10,fgsm,R3,90,60,arithmetic,3,"90,75,60",0.86328125,442,0.2760180995475113,122,0.2828054298642534,0.2428307250136915,0.3265229180775908,125,442
robustbench_rice2020,robustbench_cifar,cifar10,fgsm,R3,90,60,arithmetic,5,"90,83,75,68,60",0.86328125,442,0.2760180995475113,122,0.3710407239819004,0.3272966203701474,0.4170071052153015,164,442
